intento,inicio_utc,inicio_epoch,fin_epoch,estado,folio,latencia_ms,error
1,2026-09-20T05:38:05.702+00:00,1789882685.702006,1789882685.718444,ok,270,16.392,
2,2026-09-20T05:38:05.902+00:00,1789882685.902174,1789882685.909545,ok,271,7.320,
3,2026-09-20T05:38:06.102+00:00,1789882686.102326,1789882686.110292,ok,272,7.931,
4,2026-09-20T05:38:06.302+00:00,1789882686.302501,1789882686.309564,ok,273,7.019,
5,2026-09-20T05:38:06.502+00:00,1789882686.502693,1789882686.511879,ok,274,9.151,
6,2026-09-20T05:38:06.702+00:00,1789882686.702827,1789882686.710700,ok,275,7.830,
7,2026-09-20T05:38:06.903+00:00,1789882686.903006,1789882686.910295,ok,276,7.245,
8,2026-09-20T05:38:07.103+00:00,1789882687.103154,1789882687.112012,ok,277,8.829,
9,2026-09-20T05:38:07.303+00:00,1789882687.303298,1789882687.309413,ok,278,6.084,
10,2026-09-20T05:38:07.503+00:00,1789882687.503431,1789882687.511346,ok,279,7.875,
11,2026-09-20T05:38:07.703+00:00,1789882687.703593,1789882687.710303,ok,280,6.669,
12,2026-09-20T05:38:07.903+00:00,1789882687.903718,1789882687.912422,ok,281,8.670,
13,2026-09-20T05:38:08.103+00:00,1789882688.103848,1789882688.114831,ok,282,10.946,
14,2026-09-20T05:38:08.303+00:00,1789882688.303989,1789882688.312153,ok,283,8.109,
15,2026-09-20T05:38:08.504+00:00,1789882688.504118,1789882688.511647,ok,284,7.495,
16,2026-09-20T05:38:08.704+00:00,1789882688.704231,1789882688.713067,ok,285,8.801,
17,2026-09-20T05:38:08.904+00:00,1789882688.904344,1789882688.912161,ok,286,7.771,
18,2026-09-20T05:38:09.104+00:00,1789882689.104470,1789882689.119746,ok,287,15.229,
19,2026-09-20T05:38:09.304+00:00,1789882689.304615,1789882689.312031,ok,288,7.374,
20,2026-09-20T05:38:09.504+00:00,1789882689.504739,1789882689.512430,ok,289,7.650,
21,2026-09-20T05:38:09.704+00:00,1789882689.704870,1789882689.712665,ok,290,7.752,
22,2026-09-20T05:38:09.904+00:00,1789882689.904985,1789882689.911422,ok,291,6.385,
