intento,inicio_utc,inicio_epoch,fin_epoch,estado,folio,latencia_ms,error
1,2026-09-20T05:36:00.817+00:00,1789882560.817800,1789882560.842264,ok,2,24.409,
2,2026-09-20T05:36:01.017+00:00,1789882561.017934,1789882561.024873,ok,3,6.894,
3,2026-09-20T05:36:01.218+00:00,1789882561.218121,1789882561.224865,ok,4,6.702,
4,2026-09-20T05:36:01.418+00:00,1789882561.418226,1789882561.425523,ok,5,7.262,
5,2026-09-20T05:36:01.618+00:00,1789882561.618310,1789882561.626215,ok,6,7.856,
6,2026-09-20T05:36:01.818+00:00,1789882561.818359,1789882561.826928,ok,7,8.502,
7,2026-09-20T05:36:02.018+00:00,1789882562.018480,1789882562.025092,ok,8,6.583,
8,2026-09-20T05:36:02.218+00:00,1789882562.218605,1789882562.225776,ok,9,7.120,
9,2026-09-20T05:36:02.454+00:00,1789882562.454517,1789882562.461453,ok,10,6.884,
10,2026-09-20T05:36:02.654+00:00,1789882562.654656,1789882562.662043,ok,11,7.341,
11,2026-09-20T05:36:02.854+00:00,1789882562.854774,1789882562.864606,ok,12,9.794,
12,2026-09-20T05:36:03.054+00:00,1789882563.054938,1789882563.062486,ok,13,7.490,
13,2026-09-20T05:36:03.255+00:00,1789882563.255101,1789882563.264606,ok,14,9.435,
14,2026-09-20T05:36:03.455+00:00,1789882563.455292,1789882563.464177,ok,15,8.833,
15,2026-09-20T05:36:03.655+00:00,1789882563.655435,1789882563.662249,ok,16,6.779,
16,2026-09-20T05:36:03.855+00:00,1789882563.855690,1789882563.862944,ok,17,7.203,
17,2026-09-20T05:36:04.055+00:00,1789882564.055845,1789882564.063098,ok,18,7.203,
18,2026-09-20T05:36:04.255+00:00,1789882564.255991,1789882564.262646,ok,19,6.622,
19,2026-09-20T05:36:04.456+00:00,1789882564.456115,1789882564.462343,ok,20,6.195,
20,2026-09-20T05:36:04.656+00:00,1789882564.656344,1789882564.663306,ok,21,6.923,
21,2026-09-20T05:36:04.856+00:00,1789882564.856557,1789882564.864623,ok,22,7.993,
22,2026-09-20T05:36:05.056+00:00,1789882565.056711,1789882565.063730,ok,23,6.979,
23,2026-09-20T05:36:05.257+00:00,1789882565.257064,1789882565.264348,ok,24,7.247,
24,2026-09-20T05:36:05.457+00:00,1789882565.457210,1789882565.468415,ok,25,11.169,
25,2026-09-20T05:36:05.657+00:00,1789882565.657394,1789882565.664007,ok,26,6.563,
26,2026-09-20T05:36:05.857+00:00,1789882565.857547,1789882565.864464,ok,27,6.881,
27,2026-09-20T05:36:06.057+00:00,1789882566.057735,1789882566.066421,ok,28,8.636,
28,2026-09-20T05:36:06.257+00:00,1789882566.257863,1789882566.263990,ok,29,6.092,
29,2026-09-20T05:36:06.457+00:00,1789882566.457983,1789882568.461649,error,,2003.627,QueryCanceled: query execution canceled due to statement timeout
30,2026-09-20T05:36:08.461+00:00,1789882568.461902,1789882570.464734,error,,2002.785,QueryCanceled: query execution canceled due to statement timeout
31,2026-09-20T05:36:10.465+00:00,1789882570.465008,1789882572.468540,error,,2003.097,QueryCanceled: query execution canceled due to statement timeout
32,2026-09-20T05:36:12.469+00:00,1789882572.469259,1789882573.314526,ok,30,845.126,
33,2026-09-20T05:36:13.314+00:00,1789882573.314996,1789882573.323429,ok,31,8.385,
34,2026-09-20T05:36:13.515+00:00,1789882573.515119,1789882573.522899,ok,32,7.731,
35,2026-09-20T05:36:13.715+00:00,1789882573.715248,1789882573.723879,ok,33,8.588,
36,2026-09-20T05:36:13.915+00:00,1789882573.915375,1789882573.923467,ok,34,8.059,
37,2026-09-20T05:36:14.115+00:00,1789882574.115507,1789882574.122529,ok,35,6.984,
38,2026-09-20T05:36:14.315+00:00,1789882574.315662,1789882574.323017,ok,36,7.302,
39,2026-09-20T05:36:14.515+00:00,1789882574.515780,1789882574.523294,ok,37,7.468,
40,2026-09-20T05:36:14.715+00:00,1789882574.715946,1789882574.725557,ok,38,9.571,
41,2026-09-20T05:36:14.916+00:00,1789882574.916055,1789882574.924279,ok,39,8.179,
42,2026-09-20T05:36:15.116+00:00,1789882575.116186,1789882575.122776,ok,40,6.557,
43,2026-09-20T05:36:15.316+00:00,1789882575.316324,1789882575.322994,ok,41,6.634,
