   1 ok       16.392 ms  folio=270 
   2 ok        7.320 ms  folio=271 
   3 ok        7.931 ms  folio=272 
   4 ok        7.019 ms  folio=273 
   5 ok        9.151 ms  folio=274 
   6 ok        7.830 ms  folio=275 
   7 ok        7.245 ms  folio=276 
   8 ok        8.829 ms  folio=277 
   9 ok        6.084 ms  folio=278 
  10 ok        7.875 ms  folio=279 
  11 ok        6.669 ms  folio=280 
  12 ok        8.670 ms  folio=281 
  13 ok       10.946 ms  folio=282 
  14 ok        8.109 ms  folio=283 
  15 ok        7.495 ms  folio=284 
  16 ok        8.801 ms  folio=285 
  17 ok        7.771 ms  folio=286 
  18 ok       15.229 ms  folio=287 
  19 ok        7.374 ms  folio=288 
  20 ok        7.650 ms  folio=289 
  21 ok        7.752 ms  folio=290 
  22 ok        6.385 ms  folio=291 
  23 ok        7.355 ms  folio=292 
  24 ok       10.044 ms  folio=293 
  25 ok        7.680 ms  folio=294 
  26 ok        6.629 ms  folio=295 
  27 ok        8.301 ms  folio=296 
  28 ok        7.997 ms  folio=297 
  29 error  2007.700 ms  folio=- QueryCanceled: query execution canceled due to statement timeout
  30 error  2002.482 ms  folio=- QueryCanceled: query execution canceled due to statement timeout
  31 ok     1471.205 ms  folio=298 
  32 ok        9.044 ms  folio=299 
  33 ok        6.384 ms  folio=300 
  34 ok      156.765 ms  folio=301 
  35 ok       78.807 ms  folio=302 
  36 ok      217.677 ms  folio=303 
  37 ok      155.511 ms  folio=304 
  38 ok       99.514 ms  folio=305 
  39 ok       39.759 ms  folio=306 
  40 ok       78.255 ms  folio=307 
  41 ok       98.483 ms  folio=308 
  42 ok       99.071 ms  folio=309 
  43 ok       81.704 ms  folio=310 
  44 ok      143.058 ms  folio=311 
  45 ok       37.193 ms  folio=312 
  46 ok      140.169 ms  folio=313 
  47 ok       39.046 ms  folio=314 
  48 ok       42.247 ms  folio=315 
  49 ok       23.699 ms  folio=316 
  50 ok       34.160 ms  folio=317 
  51 ok       26.233 ms  folio=318 
  52 ok       68.913 ms  folio=319 
  53 ok       69.772 ms  folio=320 
  54 ok       41.215 ms  folio=321 
  55 ok       71.183 ms  folio=322 
  56 ok      109.504 ms  folio=323 
  57 ok       69.762 ms  folio=324 
  58 ok       59.175 ms  folio=325 
  59 ok       39.620 ms  folio=326 
  60 ok       42.203 ms  folio=327 
  61 ok       37.796 ms  folio=328 
  62 ok       29.842 ms  folio=329 
  63 ok       20.974 ms  folio=330 
  64 ok       31.213 ms  folio=331 
  65 ok       33.393 ms  folio=332 
  66 ok       19.472 ms  folio=333 
  67 ok       33.781 ms  folio=334 
  68 ok       37.071 ms  folio=335 
  69 ok       29.267 ms  folio=336 
  70 ok       29.827 ms  folio=337 
  71 ok       42.313 ms  folio=338 
  72 ok       33.261 ms  folio=339 
  73 ok       64.607 ms  folio=340 
  74 ok       25.474 ms  folio=341 
  75 ok       20.268 ms  folio=342 
  76 ok       51.885 ms  folio=343 
  77 ok       48.254 ms  folio=344 
  78 ok       41.764 ms  folio=345 
  79 ok       26.683 ms  folio=346 
  80 ok       19.839 ms  folio=347 
  81 ok       25.474 ms  folio=348 
  82 ok       37.814 ms  folio=349 
  83 ok       34.022 ms  folio=350 
  84 ok       40.750 ms  folio=351 
  85 ok       69.501 ms  folio=352 
  86 ok       31.649 ms  folio=353 
  87 ok        7.881 ms  folio=354 
  88 ok        8.473 ms  folio=355 
  89 ok       11.127 ms  folio=356 
  90 ok        7.526 ms  folio=357 
  91 ok        9.207 ms  folio=358 
  92 ok       23.711 ms  folio=359 
  93 ok       20.795 ms  folio=360 
  94 ok       23.468 ms  folio=361 
  95 ok       24.079 ms  folio=362 
  96 ok       78.919 ms  folio=363 
  97 ok       15.827 ms  folio=364 
  98 ok       32.509 ms  folio=365 
  99 ok       35.862 ms  folio=366 
 100 ok       43.749 ms  folio=367 
 101 ok       86.600 ms  folio=368 
 102 ok       65.732 ms  folio=369 
 103 ok       82.386 ms  folio=370 
 104 ok       69.319 ms  folio=371 
 105 ok       48.167 ms  folio=372 
 106 ok       54.914 ms  folio=373 
 107 ok      137.720 ms  folio=374 
 108 ok      115.327 ms  folio=375 
 109 ok       32.722 ms  folio=376 
 110 ok       81.249 ms  folio=377 
 111 ok       30.254 ms  folio=378 
 112 ok       74.706 ms  folio=379 
 113 ok       61.027 ms  folio=380 
 114 ok       83.389 ms  folio=381 
 115 ok       33.920 ms  folio=382 
 116 ok      121.079 ms  folio=383 
 117 ok       80.173 ms  folio=384 
 118 ok      132.510 ms  folio=385 
 119 ok       61.606 ms  folio=386 
 120 ok       67.246 ms  folio=387 
 121 ok       92.570 ms  folio=388 
 122 ok       84.740 ms  folio=389 
 123 ok       57.610 ms  folio=390 
 124 ok       90.518 ms  folio=391 
 125 ok       75.438 ms  folio=392 
 126 ok       61.095 ms  folio=393 
 127 ok       53.110 ms  folio=394 
 128 ok      107.615 ms  folio=395 
 129 ok       40.964 ms  folio=396 
 130 ok       30.529 ms  folio=397 
 131 ok       49.727 ms  folio=398 
 132 ok       47.514 ms  folio=399 
 133 ok       65.534 ms  folio=400 
 134 ok       32.286 ms  folio=401 
 135 ok       44.540 ms  folio=402 
 136 ok       37.279 ms  folio=403 
 137 ok       29.490 ms  folio=404 
 138 ok       76.196 ms  folio=405 
 139 ok       33.317 ms  folio=406 
 140 ok       38.801 ms  folio=407 
 141 ok       35.947 ms  folio=408 
 142 ok       69.670 ms  folio=409 
 143 ok       96.144 ms  folio=410 
 144 ok       38.287 ms  folio=411 
 145 ok        7.677 ms  folio=412 
 146 ok        9.964 ms  folio=413 
 147 ok        7.391 ms  folio=414 
 148 ok        8.097 ms  folio=415 
 149 ok        6.075 ms  folio=416 
 150 ok        6.237 ms  folio=417 
 151 ok        6.621 ms  folio=418 
 152 ok        7.323 ms  folio=419 
 153 ok        7.530 ms  folio=420 
 154 ok        6.362 ms  folio=421 
 155 ok        6.336 ms  folio=422 
 156 ok        5.715 ms  folio=423 
 157 ok        5.623 ms  folio=424 
 158 ok        6.666 ms  folio=425 
 159 ok        6.215 ms  folio=426 
 160 ok        6.389 ms  folio=427 
 161 ok        5.968 ms  folio=428 
 162 ok        6.288 ms  folio=429 
 163 ok        5.859 ms  folio=430 
 164 ok        6.538 ms  folio=431 
 165 ok        6.282 ms  folio=432 
 166 ok        5.647 ms  folio=433 
 167 ok        6.017 ms  folio=434 
 168 ok        5.544 ms  folio=435 
 169 ok       10.385 ms  folio=436 
 170 ok        5.679 ms  folio=437 
 171 ok        6.669 ms  folio=438 
 172 ok        6.335 ms  folio=439 
 173 ok        9.329 ms  folio=440 
 174 ok        6.127 ms  folio=441 
 175 ok        5.542 ms  folio=442 
 176 ok        8.191 ms  folio=443 
 177 ok        5.977 ms  folio=444 
 178 ok        6.553 ms  folio=445 
 179 ok        5.959 ms  folio=446 
 180 ok        6.631 ms  folio=447 
 181 ok        5.957 ms  folio=448 
 182 ok        6.417 ms  folio=449 
 183 ok        5.909 ms  folio=450 
 184 ok        6.263 ms  folio=451 
 185 ok        6.377 ms  folio=452 
 186 ok        6.275 ms  folio=453 
 187 ok        6.556 ms  folio=454 
 188 ok        4.895 ms  folio=455 
 189 ok        6.506 ms  folio=456 
 190 ok        6.404 ms  folio=457 
 191 ok        6.012 ms  folio=458 
 192 ok        5.703 ms  folio=459 
 193 ok        6.038 ms  folio=460 
 194 ok        5.781 ms  folio=461 
 195 ok        6.700 ms  folio=462 
 196 ok        5.364 ms  folio=463 
 197 ok        6.128 ms  folio=464 
 198 ok        5.286 ms  folio=465 
 199 ok        5.644 ms  folio=466 
 200 ok        5.523 ms  folio=467 
 201 ok        6.161 ms  folio=468 
 202 ok        9.951 ms  folio=469 
 203 ok        7.057 ms  folio=470 
 204 ok        6.914 ms  folio=471 
 205 ok        5.929 ms  folio=472 
 206 ok        6.992 ms  folio=473 
 207 ok        5.912 ms  folio=474 
 208 ok        6.584 ms  folio=475 
 209 ok        6.839 ms  folio=476 
 210 ok        6.383 ms  folio=477 
 211 ok        6.025 ms  folio=478 
 212 ok        5.579 ms  folio=479 
 213 ok        7.033 ms  folio=480 
 214 ok        5.894 ms  folio=481 
 215 ok        5.899 ms  folio=482 
 216 ok        6.672 ms  folio=483 
 217 ok        7.435 ms  folio=484 
 218 ok        6.263 ms  folio=485 
 219 ok        6.033 ms  folio=486 
 220 ok        6.031 ms  folio=487 
 221 ok        6.425 ms  folio=488 
 222 ok       15.131 ms  folio=489 
 223 ok        6.237 ms  folio=490 
 224 ok        5.161 ms  folio=491 
 225 ok        6.184 ms  folio=492 
 226 ok        5.713 ms  folio=493 
 227 ok        7.516 ms  folio=494 
 228 ok        5.865 ms  folio=495 
 229 ok        6.293 ms  folio=496 
 230 ok        6.058 ms  folio=497 
 231 ok        6.613 ms  folio=498 
 232 ok        6.309 ms  folio=499 
 233 ok        5.982 ms  folio=500 
 234 ok        6.345 ms  folio=501 
 235 ok        6.664 ms  folio=502 
 236 ok        7.038 ms  folio=503 
 237 ok        6.154 ms  folio=504 
 238 ok        5.542 ms  folio=505 
 239 ok        6.921 ms  folio=506 
 240 ok        6.479 ms  folio=507 
 241 ok       21.155 ms  folio=508 
 242 ok        6.533 ms  folio=509 
 243 ok        8.012 ms  folio=510 
 244 ok        6.317 ms  folio=511 
 245 ok        8.334 ms  folio=512 
 246 ok        7.026 ms  folio=513 
 247 ok        8.022 ms  folio=514 
 248 ok        6.760 ms  folio=515 
 249 ok        6.613 ms  folio=516 
 250 ok        5.770 ms  folio=517 
 251 ok        5.780 ms  folio=518 
 252 ok        5.787 ms  folio=519 
 253 ok        5.327 ms  folio=520 
 254 ok        5.888 ms  folio=521 
 255 ok        5.236 ms  folio=522 
 256 ok        6.241 ms  folio=523 
 257 ok        6.256 ms  folio=524 
 258 ok        5.892 ms  folio=525 
 259 ok        6.507 ms  folio=526 
 260 ok        5.543 ms  folio=527 
 261 ok        6.166 ms  folio=528 
 262 ok        5.664 ms  folio=529 
 263 ok        5.880 ms  folio=530 
 264 ok        6.105 ms  folio=531 
 265 ok        5.779 ms  folio=532 
 266 ok        6.158 ms  folio=533 
 267 ok        7.021 ms  folio=534 
 268 ok        6.458 ms  folio=535 
 269 ok        6.611 ms  folio=536 
 270 ok        6.630 ms  folio=537 
