caso,intento,inicio_utc,inicio_epoch,fin_epoch,estado,latencia_ms,error
lee-sj,11,2026-09-20T23:53:52.186+00:00,1789948432.186521,1789948432.187638,ok,1.082,
lee-limon,11,2026-09-20T23:53:52.186+00:00,1789948432.186779,1789948432.188138,ok,1.334,
lee-moneda,11,2026-09-20T23:53:52.188+00:00,1789948432.188439,1789948432.189438,ok,0.934,
escribe-limon,11,2026-09-20T23:53:52.190+00:00,1789948432.190010,1789948432.213315,ok,23.266,
escribe-sj,11,2026-09-20T23:53:52.188+00:00,1789948432.188780,1789948432.215726,ok,26.906,
escribe-cruza,11,2026-09-20T23:53:52.192+00:00,1789948432.192519,1789948432.249069,ok,56.504,
lee-sj,12,2026-09-20T23:53:52.386+00:00,1789948432.386591,1789948432.388111,ok,1.487,
lee-limon,12,2026-09-20T23:53:52.387+00:00,1789948432.387032,1789948432.389987,ok,2.926,
lee-moneda,12,2026-09-20T23:53:52.388+00:00,1789948432.388503,1789948432.390381,ok,1.555,
escribe-sj,12,2026-09-20T23:53:52.388+00:00,1789948432.388849,1789948432.413347,ok,24.459,
escribe-limon,12,2026-09-20T23:53:52.390+00:00,1789948432.390125,1789948432.416178,ok,26.008,
escribe-cruza,12,2026-09-20T23:53:52.392+00:00,1789948432.392564,1789948432.451121,ok,58.518,
lee-sj,13,2026-09-20T23:53:52.586+00:00,1789948432.586700,1789948432.588150,ok,1.415,
lee-limon,13,2026-09-20T23:53:52.587+00:00,1789948432.587097,1789948432.588396,ok,1.281,
lee-moneda,13,2026-09-20T23:53:52.588+00:00,1789948432.588565,1789948432.589633,ok,1.002,
escribe-sj,13,2026-09-20T23:53:52.588+00:00,1789948432.588918,1789948432.613503,ok,24.552,
escribe-limon,13,2026-09-20T23:53:52.590+00:00,1789948432.590192,1789948432.616194,ok,25.950,
escribe-cruza,13,2026-09-20T23:53:52.592+00:00,1789948432.592638,1789948432.647366,ok,54.661,
lee-sj,14,2026-09-20T23:53:52.786+00:00,1789948432.786814,1789948432.789819,ok,2.961,
lee-limon,14,2026-09-20T23:53:52.788+00:00,1789948432.788230,1789948432.791363,ok,3.098,
lee-moneda,14,2026-09-20T23:53:52.788+00:00,1789948432.788643,1789948432.792051,ok,3.310,
escribe-sj,14,2026-09-20T23:53:52.788+00:00,1789948432.788992,1789948432.817400,ok,28.332,
escribe-limon,14,2026-09-20T23:53:52.790+00:00,1789948432.790352,1789948432.822078,ok,31.690,
escribe-cruza,14,2026-09-20T23:53:52.792+00:00,1789948432.792706,1789948432.852360,ok,59.613,
lee-sj,15,2026-09-20T23:53:52.986+00:00,1789948432.986884,1789948432.988001,ok,1.083,
lee-moneda,15,2026-09-20T23:53:52.988+00:00,1789948432.988717,1789948432.990617,ok,1.857,
lee-limon,15,2026-09-20T23:53:52.988+00:00,1789948432.988322,1789948432.990969,ok,2.619,
escribe-cruza,15,2026-09-20T23:53:52.992+00:00,1789948432.992940,1789948433.019003,ok,26.030,
escribe-sj,15,2026-09-20T23:53:52.989+00:00,1789948432.989057,1789948433.045595,ok,56.496,
escribe-limon,15,2026-09-20T23:53:52.990+00:00,1789948432.990712,1789948433.067321,ok,76.575,
lee-sj,16,2026-09-20T23:53:53.186+00:00,1789948433.186966,1789948433.187939,ok,0.941,
lee-limon,16,2026-09-20T23:53:53.188+00:00,1789948433.188385,1789948433.189739,ok,1.321,
lee-moneda,16,2026-09-20T23:53:53.188+00:00,1789948433.188781,1789948433.189885,ok,1.054,
escribe-sj,16,2026-09-20T23:53:53.189+00:00,1789948433.189126,1789948433.214571,ok,25.410,
escribe-limon,16,2026-09-20T23:53:53.190+00:00,1789948433.190781,1789948433.220470,ok,29.654,
escribe-cruza,16,2026-09-20T23:53:53.193+00:00,1789948433.193292,1789948433.249230,ok,55.896,
lee-sj,17,2026-09-20T23:53:53.387+00:00,1789948433.387036,1789948433.388037,ok,0.967,
lee-limon,17,2026-09-20T23:53:53.388+00:00,1789948433.388453,1789948433.390096,ok,1.607,
lee-moneda,17,2026-09-20T23:53:53.388+00:00,1789948433.388850,1789948433.390325,ok,1.451,
escribe-sj,17,2026-09-20T23:53:53.389+00:00,1789948433.389170,1789948433.412526,ok,23.321,
escribe-limon,17,2026-09-20T23:53:53.390+00:00,1789948433.390849,1789948433.417912,ok,27.023,
escribe-cruza,17,2026-09-20T23:53:53.393+00:00,1789948433.393525,1789948433.447474,ok,53.902,
lee-sj,18,2026-09-20T23:53:53.587+00:00,1789948433.587125,1789948433.588123,ok,0.964,
lee-moneda,18,2026-09-20T23:53:53.588+00:00,1789948433.588914,1789948433.589779,ok,0.834,
lee-limon,18,2026-09-20T23:53:53.588+00:00,1789948433.588525,1789948433.590420,ok,1.826,
escribe-sj,18,2026-09-20T23:53:53.589+00:00,1789948433.589237,1789948433.609793,ok,20.511,
escribe-limon,18,2026-09-20T23:53:53.590+00:00,1789948433.590930,1789948433.614899,ok,23.934,
escribe-cruza,18,2026-09-20T23:53:53.594+00:00,1789948433.594367,1789948433.644780,ok,50.373,
lee-sj,19,2026-09-20T23:53:53.787+00:00,1789948433.787190,1789948433.788288,ok,1.061,
lee-limon,19,2026-09-20T23:53:53.788+00:00,1789948433.788590,1789948433.790119,ok,1.495,
lee-moneda,19,2026-09-20T23:53:53.788+00:00,1789948433.788977,1789948433.790268,ok,1.268,
escribe-sj,19,2026-09-20T23:53:53.789+00:00,1789948433.789304,1789948433.812192,ok,22.836,
escribe-limon,19,2026-09-20T23:53:53.790+00:00,1789948433.790999,1789948433.817240,ok,26.154,
escribe-cruza,19,2026-09-20T23:53:53.794+00:00,1789948433.794453,1789948433.849900,ok,55.401,
lee-sj,20,2026-09-20T23:53:53.987+00:00,1789948433.987262,1789948433.988678,ok,1.384,
lee-moneda,20,2026-09-20T23:53:53.989+00:00,1789948433.989041,1789948433.989963,ok,0.890,
lee-limon,20,2026-09-20T23:53:53.988+00:00,1789948433.988708,1789948433.990243,ok,1.514,
escribe-sj,20,2026-09-20T23:53:53.989+00:00,1789948433.989372,1789948434.011808,ok,22.394,
escribe-limon,20,2026-09-20T23:53:53.991+00:00,1789948433.991084,1789948434.018571,ok,27.444,
escribe-cruza,20,2026-09-20T23:53:53.994+00:00,1789948433.994524,1789948434.045855,ok,51.290,
lee-sj,21,2026-09-20T23:53:54.187+00:00,1789948434.187330,1789948434.188330,ok,0.960,
lee-moneda,21,2026-09-20T23:53:54.189+00:00,1789948434.189104,1789948434.189914,ok,0.776,
lee-limon,21,2026-09-20T23:53:54.188+00:00,1789948434.188771,1789948434.190227,ok,1.434,
escribe-sj,21,2026-09-20T23:53:54.189+00:00,1789948434.189403,1789948434.213627,ok,24.182,
escribe-limon,21,2026-09-20T23:53:54.191+00:00,1789948434.191172,1789948434.219003,ok,27.794,
escribe-cruza,21,2026-09-20T23:53:54.194+00:00,1789948434.194617,1789948434.248949,ok,54.289,
lee-sj,22,2026-09-20T23:53:54.387+00:00,1789948434.387410,1789948434.388451,ok,1.001,
lee-moneda,22,2026-09-20T23:53:54.389+00:00,1789948434.389171,1789948434.390051,ok,0.851,
lee-limon,22,2026-09-20T23:53:54.388+00:00,1789948434.388833,1789948434.390330,ok,1.475,
escribe-sj,22,2026-09-20T23:53:54.389+00:00,1789948434.389469,1789948434.411698,ok,22.179,
escribe-limon,22,2026-09-20T23:53:54.391+00:00,1789948434.391242,1789948434.417078,ok,25.747,
escribe-cruza,22,2026-09-20T23:53:54.394+00:00,1789948434.394701,1789948434.447704,ok,52.961,
lee-sj,23,2026-09-20T23:53:54.587+00:00,1789948434.587462,1789948434.588554,ok,1.053,
lee-moneda,23,2026-09-20T23:53:54.589+00:00,1789948434.589238,1789948434.590205,ok,0.933,
lee-limon,23,2026-09-20T23:53:54.588+00:00,1789948434.588895,1789948434.590365,ok,1.407,
escribe-sj,23,2026-09-20T23:53:54.589+00:00,1789948434.589508,1789948434.611153,ok,21.603,
escribe-limon,23,2026-09-20T23:53:54.591+00:00,1789948434.591329,1789948434.616279,ok,24.906,
escribe-cruza,23,2026-09-20T23:53:54.594+00:00,1789948434.594754,1789948434.649342,ok,54.542,
lee-sj,24,2026-09-20T23:53:54.787+00:00,1789948434.787536,1789948434.789030,ok,1.456,
lee-moneda,24,2026-09-20T23:53:54.789+00:00,1789948434.789300,1789948434.790185,ok,0.843,
lee-limon,24,2026-09-20T23:53:54.789+00:00,1789948434.789061,1789948434.791188,ok,2.084,
escribe-sj,24,2026-09-20T23:53:54.789+00:00,1789948434.789569,1789948434.811416,ok,21.806,
escribe-limon,24,2026-09-20T23:53:54.791+00:00,1789948434.791396,1789948434.814193,ok,22.740,
escribe-cruza,24,2026-09-20T23:53:54.794+00:00,1789948434.794841,1789948434.844145,ok,49.266,
lee-sj,25,2026-09-20T23:53:54.987+00:00,1789948434.987644,1789948434.988603,ok,0.930,
lee-limon,25,2026-09-20T23:53:54.989+00:00,1789948434.989130,1789948434.990779,ok,1.621,
lee-moneda,25,2026-09-20T23:53:54.989+00:00,1789948434.989738,1789948434.990925,ok,1.107,
escribe-sj,25,2026-09-20T23:53:54.989+00:00,1789948434.989635,1789948435.012113,ok,22.438,
escribe-limon,25,2026-09-20T23:53:54.991+00:00,1789948434.991472,1789948435.016578,ok,25.065,
escribe-cruza,25,2026-09-20T23:53:54.994+00:00,1789948434.994907,1789948435.047410,ok,52.456,
lee-sj,26,2026-09-20T23:53:55.187+00:00,1789948435.187727,1789948435.188657,ok,0.903,
lee-limon,26,2026-09-20T23:53:55.189+00:00,1789948435.189189,1789948435.190951,ok,1.725,
lee-moneda,26,2026-09-20T23:53:55.189+00:00,1789948435.189801,1789948435.191134,ok,1.311,
escribe-sj,26,2026-09-20T23:53:55.189+00:00,1789948435.189700,1789948435.209438,ok,19.693,
escribe-limon,26,2026-09-20T23:53:55.191+00:00,1789948435.191540,1789948435.219119,ok,27.538,
escribe-cruza,26,2026-09-20T23:53:55.196+00:00,1789948435.196572,1789948435.249885,ok,53.274,
lee-sj,27,2026-09-20T23:53:55.387+00:00,1789948435.387826,1789948435.388999,ok,1.147,
lee-moneda,27,2026-09-20T23:53:55.389+00:00,1789948435.389866,1789948435.391041,ok,1.108,
lee-limon,27,2026-09-20T23:53:55.389+00:00,1789948435.389253,1789948435.391289,ok,1.887,
escribe-sj,27,2026-09-20T23:53:55.389+00:00,1789948435.389766,1789948435.412294,ok,22.490,
escribe-limon,27,2026-09-20T23:53:55.391+00:00,1789948435.391605,1789948435.417442,ok,25.791,
