intento,inicio_utc,inicio_epoch,fin_epoch,estado,folio,latencia_ms,error
67,2026-09-19T03:01:39.421+00:00,1789786899.421174,1789786899.426727,ok,66,5.525,
68,2026-09-19T03:01:39.621+00:00,1789786899.621242,1789786899.628516,ok,67,7.247,
69,2026-09-19T03:01:39.821+00:00,1789786899.821325,1789786899.828620,ok,68,7.263,
70,2026-09-19T03:01:40.021+00:00,1789786900.021413,1789786900.028635,ok,69,7.193,
71,2026-09-19T03:01:40.221+00:00,1789786900.221496,1789786900.229088,ok,70,7.538,
72,2026-09-19T03:01:40.421+00:00,1789786900.421581,1789786900.428721,ok,71,7.112,
73,2026-09-19T03:01:40.621+00:00,1789786900.621649,1789786900.628893,ok,72,7.190,
74,2026-09-19T03:01:40.821+00:00,1789786900.821716,1789786900.828748,ok,73,7.001,
75,2026-09-19T03:01:41.021+00:00,1789786901.021784,1789786901.028675,ok,74,6.864,
76,2026-09-19T03:01:41.221+00:00,1789786901.221881,1789786901.228708,ok,75,6.798,
77,2026-09-19T03:01:41.422+00:00,1789786901.422036,1789786901.429184,ok,76,7.118,
78,2026-09-19T03:01:41.622+00:00,1789786901.622142,1789786901.629039,ok,77,6.862,
79,2026-09-19T03:01:41.822+00:00,1789786901.822263,1789786901.826886,ok,78,4.578,
80,2026-09-19T03:01:42.022+00:00,1789786902.022332,1789786902.029528,ok,79,7.164,
81,2026-09-19T03:01:42.222+00:00,1789786902.222410,1789786902.231819,ok,80,9.381,
82,2026-09-19T03:01:42.422+00:00,1789786902.422462,1789786902.429484,ok,81,6.996,
83,2026-09-19T03:01:42.622+00:00,1789786902.622530,1789786902.630617,ok,82,8.061,
84,2026-09-19T03:01:42.822+00:00,1789786902.822936,1789786902.836115,ok,83,13.145,
85,2026-09-19T03:01:43.023+00:00,1789786903.023034,1789786903.030558,ok,84,7.493,
86,2026-09-19T03:01:43.223+00:00,1789786903.223103,1789786903.230252,ok,85,7.112,
87,2026-09-19T03:01:43.423+00:00,1789786903.423211,1789786903.433202,ok,86,9.955,
88,2026-09-19T03:01:43.623+00:00,1789786903.623300,1789786903.630905,ok,87,7.540,
89,2026-09-19T03:01:43.823+00:00,1789786903.823371,1789786903.830839,ok,88,7.436,
90,2026-09-19T03:01:44.023+00:00,1789786904.023422,1789786904.031067,ok,89,7.611,
91,2026-09-19T03:01:44.223+00:00,1789786904.223494,1789786904.231437,ok,90,7.895,
92,2026-09-19T03:01:44.423+00:00,1789786904.423570,1789786904.433478,ok,91,9.871,
93,2026-09-19T03:01:44.623+00:00,1789786904.623642,1789786904.634428,ok,92,10.743,
94,2026-09-19T03:01:44.823+00:00,1789786904.823725,1789786904.831183,ok,93,7.431,
95,2026-09-19T03:01:45.023+00:00,1789786905.023844,1789786905.031409,ok,94,7.529,
96,2026-09-19T03:01:45.223+00:00,1789786905.223925,1789786905.230103,ok,95,6.150,
97,2026-09-19T03:01:45.424+00:00,1789786905.424031,1789786905.430886,ok,96,6.824,
98,2026-09-19T03:01:45.624+00:00,1789786905.624114,1789786905.631431,ok,97,7.275,
99,2026-09-19T03:01:45.824+00:00,1789786905.824182,1789786905.831177,ok,98,6.967,
100,2026-09-19T03:01:46.024+00:00,1789786906.024287,1789786906.031310,ok,99,6.993,
101,2026-09-19T03:01:46.224+00:00,1789786906.224357,1789786906.228984,ok,100,4.595,
102,2026-09-19T03:01:46.424+00:00,1789786906.424428,1789786906.435154,ok,101,10.689,
103,2026-09-19T03:01:46.624+00:00,1789786906.624481,1789786906.635444,ok,102,10.926,
104,2026-09-19T03:01:46.824+00:00,1789786906.824551,1789786906.831803,ok,103,7.223,
105,2026-09-19T03:01:47.024+00:00,1789786907.024620,1789786907.030300,ok,104,5.654,
106,2026-09-19T03:01:47.224+00:00,1789786907.224717,1789786907.232053,ok,105,7.307,
107,2026-09-19T03:01:47.424+00:00,1789786907.424785,1789786907.432378,ok,106,7.551,
108,2026-09-19T03:01:47.624+00:00,1789786907.624884,1789786907.632360,ok,107,7.449,
109,2026-09-19T03:01:47.824+00:00,1789786907.824990,1789786907.832297,ok,108,7.277,
110,2026-09-19T03:01:48.025+00:00,1789786908.025058,1789786908.032303,ok,109,7.218,
111,2026-09-19T03:01:48.225+00:00,1789786908.225171,1789786908.232807,ok,110,7.609,
112,2026-09-19T03:01:48.425+00:00,1789786908.425251,1789786908.432478,ok,111,7.200,
113,2026-09-19T03:01:48.625+00:00,1789786908.625335,1789786908.630295,ok,112,4.932,
114,2026-09-19T03:01:48.825+00:00,1789786908.825422,1789786908.832329,ok,113,6.878,
115,2026-09-19T03:01:49.025+00:00,1789786909.025475,1789786909.032876,ok,114,7.373,
116,2026-09-19T03:01:49.226+00:00,1789786909.226435,1789786909.244650,ok,115,18.179,
117,2026-09-19T03:01:49.426+00:00,1789786909.426518,1789786909.435977,ok,116,9.431,
118,2026-09-19T03:01:49.626+00:00,1789786909.626559,1789786909.632223,ok,117,5.636,
119,2026-09-19T03:01:49.826+00:00,1789786909.826640,1789786909.834176,ok,118,7.505,
120,2026-09-19T03:01:50.026+00:00,1789786910.026744,1789786910.033731,ok,119,6.952,
121,2026-09-19T03:01:50.226+00:00,1789786910.226813,1789786910.234214,ok,120,7.369,
122,2026-09-19T03:01:50.426+00:00,1789786910.426870,1789786910.432053,ok,121,5.149,
123,2026-09-19T03:01:50.626+00:00,1789786910.626940,1789786910.631720,ok,122,4.749,
124,2026-09-19T03:01:50.827+00:00,1789786910.827008,1789786910.834338,ok,123,7.298,
125,2026-09-19T03:01:51.027+00:00,1789786911.027077,1789786911.034074,ok,124,6.967,
126,2026-09-19T03:01:51.227+00:00,1789786911.227148,1789786911.235136,ok,125,7.939,
127,2026-09-19T03:01:51.427+00:00,1789786911.427270,1789786911.434619,ok,126,7.315,
128,2026-09-19T03:01:51.627+00:00,1789786911.627339,1789786911.634337,ok,127,6.969,
129,2026-09-19T03:01:51.827+00:00,1789786911.827447,1789786911.834448,ok,128,6.975,
130,2026-09-19T03:01:52.027+00:00,1789786912.027517,1789786912.034907,ok,129,7.362,
131,2026-09-19T03:01:52.227+00:00,1789786912.227588,1789786912.235262,ok,130,7.639,
132,2026-09-19T03:01:52.427+00:00,1789786912.427672,1789786912.434857,ok,131,7.153,
133,2026-09-19T03:01:52.627+00:00,1789786912.627740,1789786912.632555,ok,132,4.786,
134,2026-09-19T03:01:52.827+00:00,1789786912.827846,1789786912.835190,ok,133,7.303,
135,2026-09-19T03:01:53.027+00:00,1789786913.027954,1789786913.033022,ok,134,5.039,
136,2026-09-19T03:01:53.228+00:00,1789786913.228063,1789786913.235168,ok,135,7.075,
137,2026-09-19T03:01:53.428+00:00,1789786913.428184,1789786913.435316,ok,136,7.076,
138,2026-09-19T03:01:53.628+00:00,1789786913.628262,1789786913.635774,ok,137,7.471,
139,2026-09-19T03:01:53.828+00:00,1789786913.828385,1789786913.833162,ok,138,4.742,
140,2026-09-19T03:01:54.028+00:00,1789786914.028420,1789786914.036069,ok,139,7.620,
141,2026-09-19T03:01:54.228+00:00,1789786914.228459,1789786914.235718,ok,140,7.226,
142,2026-09-19T03:01:54.428+00:00,1789786914.428559,1789786914.433470,ok,141,4.882,
143,2026-09-19T03:01:54.628+00:00,1789786914.628643,1789786914.635922,ok,142,7.254,
144,2026-09-19T03:01:54.828+00:00,1789786914.828755,1789786914.836249,ok,143,7.455,
145,2026-09-19T03:01:55.028+00:00,1789786915.028824,1789786915.035793,ok,144,6.939,
146,2026-09-19T03:01:55.228+00:00,1789786915.228938,1789786915.239974,ok,145,10.998,
147,2026-09-19T03:01:55.429+00:00,1789786915.429007,1789786915.436424,ok,146,7.374,
148,2026-09-19T03:01:55.629+00:00,1789786915.629129,1789786915.636430,ok,147,7.260,
149,2026-09-19T03:01:55.829+00:00,1789786915.829236,1789786915.836587,ok,148,7.325,
150,2026-09-19T03:01:56.029+00:00,1789786916.029356,1789786916.036735,ok,149,7.331,
151,2026-09-19T03:01:56.229+00:00,1789786916.229436,1789786916.236629,ok,150,7.156,
152,2026-09-19T03:01:56.429+00:00,1789786916.429504,1789786916.436604,ok,151,7.068,
153,2026-09-19T03:01:56.629+00:00,1789786916.629573,1789786916.636757,ok,152,7.156,
154,2026-09-19T03:01:56.829+00:00,1789786916.829654,1789786916.836841,ok,153,7.158,
155,2026-09-19T03:01:57.029+00:00,1789786917.029757,1789786917.037097,ok,154,7.312,
156,2026-09-19T03:01:57.229+00:00,1789786917.229828,1789786917.237761,ok,155,7.901,
157,2026-09-19T03:01:57.429+00:00,1789786917.429898,1789786917.437037,ok,156,7.108,
158,2026-09-19T03:01:57.629+00:00,1789786917.629966,1789786917.637150,ok,157,7.156,
159,2026-09-19T03:01:57.830+00:00,1789786917.830071,1789786917.835052,ok,158,4.948,
160,2026-09-19T03:01:58.030+00:00,1789786918.030141,1789786918.037363,ok,159,7.194,
161,2026-09-19T03:01:58.230+00:00,1789786918.230215,1789786918.237915,ok,160,7.656,
162,2026-09-19T03:01:58.430+00:00,1789786918.430333,1789786918.437510,ok,161,7.144,
