timestamp_utc,epoch,completed_epoch,phase,status,latency_ms,error
2026-09-02T17:42:50.571+00:00,1788370970.562972,1788370970.571439,after-stop,ok,8.463,
2026-09-02T17:42:51.071+00:00,1788370971.063079,1788370971.071791,after-stop,ok,8.708,
2026-09-02T17:42:51.573+00:00,1788370971.563177,1788370971.573478,after-stop,ok,10.296,
2026-09-02T17:42:52.071+00:00,1788370972.063312,1788370972.071258,after-stop,ok,7.924,
2026-09-02T17:42:52.571+00:00,1788370972.563380,1788370972.571869,after-stop,ok,8.485,
2026-09-02T17:42:53.086+00:00,1788370973.063466,1788370973.086198,after-stop,ok,22.727,
2026-09-02T17:42:53.572+00:00,1788370973.563551,1788370973.572460,after-stop,ok,8.896,
2026-09-02T17:42:54.072+00:00,1788370974.063621,1788370974.072049,after-stop,ok,8.424,
2026-09-02T17:42:54.571+00:00,1788370974.563727,1788370974.571767,after-stop,ok,8.037,
2026-09-02T17:42:55.072+00:00,1788370975.063798,1788370975.072354,after-stop,ok,8.553,
2026-09-02T17:42:55.572+00:00,1788370975.563866,1788370975.572071,after-stop,ok,8.202,
2026-09-02T17:42:56.072+00:00,1788370976.063939,1788370976.072608,after-stop,ok,8.665,
2026-09-02T17:42:56.572+00:00,1788370976.564034,1788370976.572542,after-stop,ok,8.505,
2026-09-02T17:42:57.072+00:00,1788370977.064144,1788370977.072685,after-stop,ok,8.537,
2026-09-02T17:42:57.572+00:00,1788370977.564258,1788370977.572515,after-stop,ok,8.253,
2026-09-02T17:42:58.072+00:00,1788370978.064327,1788370978.072534,after-stop,ok,8.202,
2026-09-02T17:42:58.573+00:00,1788370978.564398,1788370978.572981,after-stop,ok,8.579,
2026-09-02T17:42:59.073+00:00,1788370979.064468,1788370979.073035,after-stop,ok,8.564,
