operation,locality,home_region,run,latency_ms
write,remote,cr-limon,20,5.782
write,remote,cr-limon,21,6.069
write,remote,cr-limon,22,6.156
write,remote,cr-limon,23,7.402
write,remote,cr-limon,24,5.760
write,remote,cr-limon,25,6.179
write,remote,cr-limon,26,5.321
write,remote,cr-limon,27,5.570
write,remote,cr-limon,28,5.471
write,remote,cr-limon,29,6.000
write,remote,cr-limon,30,7.814
write,remote,cr-limon,31,7.272
write,remote,cr-limon,32,6.924
write,remote,cr-limon,33,8.855
write,remote,cr-limon,34,11.792
write,remote,cr-limon,35,8.611
write,remote,cr-limon,36,6.260
write,remote,cr-limon,37,6.608
write,remote,cr-limon,38,7.435
write,remote,cr-limon,39,6.061
write,remote,cr-limon,40,6.280
write,remote,cr-limon,41,5.675
write,remote,cr-limon,42,6.003
write,remote,cr-limon,43,7.582
write,remote,cr-limon,44,7.279
write,remote,cr-limon,45,5.681
write,remote,cr-limon,46,6.037
write,remote,cr-limon,47,5.419
write,remote,cr-limon,48,6.489
write,remote,cr-limon,49,7.758
write,remote,cr-limon,50,6.670
